CUSTOMER_ID,ORDER_ID,item1,item2,item3,RECOMMENDATION 1,RECOMMENDATION 2,RECOMMENDATION 3
798880002,5434557025,6 pc Spicy Wings Combo,8 pc Grilled Wings Combo,7 pc Crispy Strips,10 pc Grilled Wings Combo,8 pc Spicy Wings Combo,Fried Corn - Large
647112527,8268916448,6 pc Spicy Wings Combo,50 pc Grilled Wings,Ranch Dip - Regular,Ranch Dip - Regular,Regular Buffalo Fries,Ranch Dip - Large
607843353,8140769629,Ranch Dip - Regular,10 pc Mixed Wings,Regular Buffalo Fries,15 pc Grilled Wings,10 pc Spicy Wings,2 pc Crispy Strips
370391246,3474583684,Cheese Fries - Large,20 pc Mixed Wings,Fried Corn - Large,Ranch Dip - Regular,Regular Buffalo Fries,Ranch Dip - Large
303385308,3461378541,6 pc Spicy Wings Combo,Ranch Dip - Regular,Regular Buffalo Fries,10 pc Spicy Wings,2 pc Crispy Strips,10 pc Grilled Wings
240482090,8619245253,Ranch Dip - Large,10 pc Spicy Wings,Fried Corn - Large,Regular Buffalo Fries,75 pc Family Mixed Wings,Large Buffalo Fries
479278166,9425701393,2 pc Crispy Strips,3 pc Crispy Strips Combo,Ranch Dip - Regular,Fried Corn - Regular,6 pc Spicy Wings Combo,Cheese Dip - Regular
481060039,9376327890,32 Oz Soda,20pc Spicy Feast Deal,20 Oz Soda,Ranch Dip - Large,Large Buffalo Fries,Ranch Dip - Regular
792223703,4182647480,Ranch Dip - Large,Add 5 Grilled Wings,15 pc Grilled Wings,Regular Buffalo Fries,Voodoo Fries - Regular,20pc Spicy Feast Deal
197588117,4003611924,10 pc Grilled Wings Combo,Add 5 Spicy Wings,Ranch Dip - Regular,10 pc Spicy Wings Combo,Veggie Sticks Spicy,2 pc Crispy Strips
810719895,9664258299,Large Buffalo Fries,Ranch Dip - Large,Voodoo Fries - Large,10 pc Spicy Wings,20 pc Crispy Strips,15 pc Spicy Wings
424704673,6513020303,Veggie Sticks Spicy,20pc Spicy Feast Deal,20 Oz Soda,Ranch Dip - Regular,Ranch Dip - Large,Dipping Sauce
898392104,3038848982,6 pc Spicy Wings Combo,2 pc Crispy Strips,Large Buffalo Fries,Ranch Dip - Large,7 pc Crispy Strips,8 pc Grilled Wings Combo
999339497,8376685289,Chicken Sub Combo,Blue Cheese Dip - Regular,Veggie Sticks Spicy,10 pc Grilled Wings,15 pc Grilled Wings,10 pc Spicy Wings
671933285,5557489897,Ranch Dip - Regular,2 pc Crispy Strips,10 pc Grilled Wings,Large Buffalo Fries,20pc Spicy Feast Deal,3 pc Crispy Strips Combo
483400502,5074642260,10 pc Mixed Wings Combo,15 pc Grilled Wings,Ranch Dip - Regular,10 pc Grilled Wings Combo,Dipping Sauce,32 Oz Soda
556772768,8463957236,2 pc Crispy Strips,32 Oz Soda,10 pc Spicy Wings Combo,20pc Spicy Feast Deal,6 pc Strips Meal for 2,Ranch Dip - Regular
914158493,8529031849,Large Buffalo Fries,15 pc Crispy Strips,Carrot Sticks,Ranch Dip - Regular,Ranch Dip - Large,Regular Buffalo Fries
24561343,2360269841,Ranch Dip - Regular,Chicken Sub,Large Buffalo Fries,10 pc Spicy Wings,10 pc Grilled Wings,20 pc Grilled Wings
271491431,6957515655,Ranch Dip - Large,Regular Buffalo Fries,6 pc Grilled Wings Combo,Dipping Sauce,8 pc Grilled Wings Combo,2 pc Crispy Strips
766490388,560924059,10 pc Spicy Wings,Regular Buffalo Fries,Fried Corn - Large,Ranch Dip - Regular,Ranch Dip - Large,Large Buffalo Fries
740886021,7557215476,6 pc Grilled Wings Combo,Ranch Dip - Regular,3 pc Crispy Strips Combo,2 pc Crispy Strips,8 pc Grilled Wings Combo,10 pc Grilled Wings
806107795,7576879386,Chicken Sub,Chicken Sub Combo,10 pc Spicy Wings,Ranch Dip - Regular,Ranch Dip - Large,2 pc Crispy Strips
844564898,2024803542,6 pc Strips Meal for 2,5 pc Crispy Strips Combo,Ranch Dip - Large,32 Oz Soda,Fried Corn - Regular,10 pc Spicy Wings
903058196,958258271,20 Oz Soda,Regular Buffalo Fries,Chicken Sub Combo,Chicken Sub,Ranch Dip - Regular,15 pc Spicy Wings
798400642,1115322441,20pc Spicy Feast Deal,Blue Cheese Dip - Regular,10 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,Fried Corn - Regular
521638597,8289961904,Ranch Dip - Large,20 pc Grilled Wings,Flavor Platter,Large Buffalo Fries,Large Veggie Sticks Spicy,Regular Buffalo Fries
209881945,8903503849,Carrot Sticks,30 pc Spicy Wings,Veggie Sticks,Ranch Dip - Regular,Regular Buffalo Fries,Ranch Dip - Large
313686490,4696392549,10 pc Spicy Wings,Regular Buffalo Fries,8 pc Grilled Wings Combo,Ranch Dip - Regular,2 pc Crispy Strips,10 pc Grilled Wings Combo
92570317,8201462153,Add 5 Grilled Wings,Large Buffalo Fries,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo,Ranch Dip - Regular,20pc Spicy Feast Deal
942411970,1106412992,Fried Corn - Large,2 pc Crispy Strips,Flavor Platter,Add 5 Grilled Wings,Regular Buffalo Fries,Ranch Dip - Regular
752479101,6017584435,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,Fried Corn - Large,2 pc Crispy Strips,8 pc Spicy Wings Combo,Veggie Sticks
659566615,7561380164,3 pc Crispy Strips Combo,30 pc Family Grilled Wings,15 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,Ranch Dip - Large
552054707,8313745366,10 pc Spicy Wings,4 pc Crispy Strips,Ranch Dip - Regular,Regular Buffalo Fries,Voodoo Fries - Regular,10 pc Grilled Wings
641732217,7412481937,20 pc Mixed Wings,Voodoo Fries - Regular,Regular Buffalo Fries,Ranch Dip - Regular,Blue Cheese Dip - Regular,Ranch Dip - Large
782687122,9404853975,20pc Spicy Feast Deal,Large Buffalo Fries,Ranch Dip - Regular,10 pc Spicy Wings,10 pc Grilled Wings,20 pc Grilled Wings
711176991,5843303173,20pc Spicy Feast Deal,Fried Corn - Large,Ranch Dip - Large,Large Veggie Sticks Spicy,32 Oz Soda,4 pc Crispy Strips
113063488,5634013434,Large Veggie Sticks Spicy,50 pc Mixed Wings,Ranch Dip - Large,Dipping Sauce,Regular Buffalo Fries,Ranch Dip - Regular
148437727,3900783085,10 pc Spicy Wings,Ranch Dip - Regular,20 Oz Soda,Regular Buffalo Fries,Large Buffalo Fries,Fried Corn - Regular
517545136,3607320592,Fried Corn - Large,Ranch Dip - Large,40 pc Family Mixed Wings,Large Buffalo Fries,Regular Buffalo Fries,Dipping Sauce
251340705,1580421216,5 pc Crispy Strips Combo,Cheese Fries - Large,15 pc Spicy Wings,Chicken Sub Combo,Ranch Dip - Regular,Regular Buffalo Fries
830737958,3428541028,Veggie Sticks Spicy,10 pc Grilled Wings Combo,Fried Corn - Regular,Ranch Dip - Regular,6 pc Grilled Wings Combo,Ranch Dip - Large
479488590,2093272018,Cheese Fries - Large,Ranch Dip - Regular,15 pc Grilled Wings,Cheese Dip - Medium,Fried Corn - Regular,Blue Cheese Dip - Regular
104316436,5140584474,15 pc Grilled Wings Combo,7 pc Crispy Strips,Fried Corn - Large,Dipping Sauce,Ranch Dip - Regular,Large Buffalo Fries
796657195,9182095124,Large Veggie Sticks Spicy,10 pc Grilled Wings Combo,Ranch Dip - Regular,8 pc Grilled Wings Combo,Fried Corn - Large,Add 5 Grilled Wings
928737683,9008976760,Flavor Platter,2 pc Crispy Strips,Regular Buffalo Fries,Ranch Dip - Regular,Dipping Sauce,Ranch Dip - Large
888121558,2610885654,Ranch Dip - Large,20pc Spicy Feast Deal,Large Veggie Sticks Spicy,20 Oz Soda,Fried Corn - Large,Add 5 Spicy Wings
539034370,6556987230,Ranch Dip - Regular,6 pc Grilled Wings Combo,3 pc Crispy Strips Combo,2 pc Crispy Strips,8 pc Grilled Wings Combo,Fried Corn - Large
644139747,6095674121,20 Oz Soda,20pc Spicy Feast Deal,Cheese Dip - Medium,Ranch Dip - Regular,8 pc Grilled Wings Combo,Regular Buffalo Fries
828846329,8239324284,Regular Buffalo Fries,10 pc Spicy Wings,4 pc Crispy Strips,Ranch Dip - Regular,Ranch Dip - Large,Fried Corn - Regular
882876751,2235489605,Ranch Dip - Regular,Chicken Sub Combo,Chicken Sub,2 pc Crispy Strips,8 pc Grilled Wings Combo,10 pc Spicy Wings
800353976,420263296,6 pc Grilled Wings Combo,Regular Buffalo Fries,20 pc Grilled Wings,Ranch Dip - Regular,Ranch Dip - Large,32 Oz Soda
950142020,2853107028,15 pc Grilled Wings Combo,10 pc Spicy Wings,Regular Buffalo Fries,Ranch Dip - Regular,4 pc Crispy Strips,20pc Spicy Feast Deal
167486393,2882485535,6 pc Spicy Wings Combo,Chicken Sub,Ranch Dip - Regular,15 pc Mixed Wings Combo,10 pc Grilled Wings Combo,10 pc Spicy Wings Combo
997157436,9388852439,6 pc Grilled Wings Combo,Voodoo Fries - Large,Ranch Dip - Regular,10 pc Grilled Wings,20 pc Grilled Wings,Blue Cheese Dip - Regular
486934836,3663281732,24 pc Family Grilled Wings,Add 5 Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,Large Buffalo Fries,2 pc Crispy Strips
866406991,3205313571,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,Ranch Dip - Regular,2 pc Crispy Strips,Veggie Sticks Spicy,Dipping Sauce
804113173,8488904198,Ranch Dip - Regular,15 pc Grilled Wings,7 pc Crispy Strips,Voodoo Fries - Large,Regular Buffalo Fries,Ranch Dip - Large
956667181,8833682485,Flavor Platter,8 pc Spicy Wings Combo,Ranch Dip - Large,Ranch Dip - Regular,Chicken Sub Combo,Regular Buffalo Fries
201904809,507309741,5 pc Crispy Strips Combo,8 pc Spicy Wings Combo,Carrot Sticks,Ranch Dip - Regular,Regular Buffalo Fries,Ranch Dip - Large
805499454,1420458152,Regular Buffalo Fries,Ranch Dip - Regular,10 pc Grilled Wings Combo,8 pc Grilled Wings Combo,10 pc Spicy Wings,15 pc Grilled Wings
75389782,1400514220,Ranch Dip - Large,10 pc Grilled Wings,Large Buffalo Fries,15 pc Spicy Wings,Flavor Platter,20 pc Grilled Wings
110659103,8005800972,Veggie Sticks Spicy,2 pc Crispy Strips,8 pc Grilled Wings Combo,Chicken Sub Combo,Ranch Dip - Regular,10 pc Grilled Wings Combo
801915049,9195418958,Ranch Dip - Regular,8 pc Mixed Wings Combo,Chicken Sub Combo,10 pc Grilled Wings Combo,2 pc Crispy Strips,4 pc Crispy Strips
807524346,7616149255,Chicken Sub Combo,10 pc Grilled Wings Combo,Ranch Dip - Regular,8 pc Grilled Wings Combo,10 pc Grilled Wings,Fried Corn - Regular
652586081,4743781689,Fried Corn - Regular,10 pc Spicy Wings,Ranch Dip - Regular,Regular Buffalo Fries,7 pc Crispy Strips,15 pc Spicy Wings
851583581,5459634450,Ranch Dip - Regular,30 pc Spicy Wings,Cheese Fries - Regular,Regular Buffalo Fries,Large Veggie Sticks Spicy,10 pc Grilled Wings
628026677,9761469695,30 pc Grilled Wings,Ranch Dip - Large,Large Buffalo Fries,Regular Buffalo Fries,Celery Sticks,Ranch Dip - Regular
68440506,8026870762,15 pc Spicy Wings Combo,Regular Buffalo Fries,Ranch Dip - Regular,10 pc Grilled Wings,15 pc Grilled Wings,Veggie Sticks Spicy
628387996,5519604346,8 pc Grilled Wings Combo,2 pc Crispy Strips,10 pc Grilled Wings Combo,Ranch Dip - Regular,6 pc Grilled Wings Combo,Chicken Sub Combo
754283787,3443149720,10 pc Grilled Wings,Ranch Dip - Regular,Large Buffalo Fries,10 pc Spicy Wings,Add 5 Grilled Wings,15 pc Spicy Wings
567878398,5695784239,20pc Spicy Feast Deal,Ranch Dip - Regular,Veggie Sticks Spicy,Fried Corn - Regular,10 pc Grilled Wings,Add 5 Spicy Wings
667834511,6539979064,6 pc Spicy Wings Combo,6 pc Grilled Wings Combo,Ranch Dip - Regular,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo,Fried Corn - Regular
459429066,2100548803,15 pc Grilled Wings,Ranch Dip - Large,10 pc Grilled Wings Combo,Ranch Dip - Regular,Regular Buffalo Fries,Voodoo Fries - Regular
684058871,9419859109,Large Fruit Punch,15 pc Crispy Strips,5 pc Crispy Strips Combo,Ranch Dip - Regular,Regular Buffalo Fries,Ranch Dip - Large
46262059,7269411598,Regular Buffalo Fries,20 Oz Soda,7 pc Crispy Strips,Fried Corn - Large,Ranch Dip - Regular,5 pc Crispy Strips Combo
398483308,1617158734,Regular Buffalo Fries,Fried Corn - Regular,Ranch Dip - Large,10 pc Spicy Wings,7 pc Crispy Strips,4 pc Crispy Strips
344143914,7560129921,Ranch Dip - Regular,10 pc Grilled Wings Combo,5 pc Crispy Strips Combo,10 pc Spicy Wings Combo,Fried Corn - Regular,6 pc Grilled Wings Combo
627164221,3704712191,30 pc Family Grilled Wings,Fried Corn - Large,2 pc Crispy Strips,Ranch Dip - Large,Ranch Dip - Regular,Large Buffalo Fries
365857463,4136734912,Cheese Dip - Regular,3 pc Crispy Strips Combo,Regular Buffalo Fries,Ranch Dip - Large,Fried Corn - Regular,10 pc Spicy Wings
5783045,2250143111,Fried Corn - Regular,10 pc Spicy Wings,20 Oz Soda,8 pc Grilled Wings Combo,Ranch Dip - Regular,Regular Buffalo Fries
346536705,3302991162,Fried Corn - Large,30 pc Grilled Wings,Ranch Dip - Regular,Regular Buffalo Fries,Large Buffalo Fries,Chicken Sub
303422953,7367995107,Regular Buffalo Fries,Fried Corn - Regular,Ranch Dip - Regular,20 pc Grilled Wings,10 pc Spicy Wings,10 pc Grilled Wings
651161181,6251705624,8 pc Spicy Wings Combo,Add 5 Spicy Wings,Chicken Sub Combo,10 pc Grilled Wings Combo,Ranch Dip - Regular,6 pc Spicy Wings Combo
530147930,5055546718,20 pc Grilled Wings,Chicken Sub,4 pc Crispy Strips,Ranch Dip - Regular,Cheese Fries - Large,Regular Buffalo Fries
910189992,5674301849,7 pc Crispy Strips,Regular Buffalo Fries,Triple Chocolate Cake,10 pc Spicy Wings Combo,Veggie Sticks Spicy,Ranch Dip - Regular
245261230,6235808560,8 pc Grilled Wings Combo,Cheese Dip - Large,8 pc Spicy Wings Combo,6 pc Spicy Wings Combo,10 pc Grilled Wings Combo,Ranch Dip - Regular
4416881,3064527094,30 pc Family Grilled Wings,Add 5 Spicy Wings,Ranch Dip - Regular,Large Buffalo Fries,Regular Buffalo Fries,Add 5 Grilled Wings
371289572,692173050,8 pc Spicy Wings Combo,Ranch Dip - Regular,10 pc Spicy Wings Combo,6 pc Spicy Wings Combo,Fried Corn - Regular,2 pc Crispy Strips
269856603,432530606,Chicken Sub,Add 5 Grilled Wings,10 pc Grilled Wings Combo,Ranch Dip - Regular,Regular Buffalo Fries,Chicken Sub Combo
879683043,6605021198,Honey Mustard Dip - Regular,Fried Corn - Regular,3 pc Crispy Strips Combo,Ranch Dip - Regular,10 pc Grilled Wings Combo,15 pc Spicy Wings
315958232,1474861848,Veggie Sticks Spicy,10 pc Spicy Wings,Ranch Dip - Regular,10 pc Grilled Wings Combo,10 pc Grilled Wings,Fried Corn - Regular
158427631,6235540934,6 pc Spicy Wings Combo,5 pc Crispy Strips Combo,15 pc Spicy Wings Combo,Fried Corn - Regular,8 pc Spicy Wings Combo,Ranch Dip - Regular
310547085,1084179693,Ranch Dip - Large,Large Veggie Sticks Spicy,10 pc Spicy Wings,3 pc Crispy Strips Combo,20 Oz Soda,10 pc Grilled Wings
966062888,3083081458,3 pc Crispy Strips Combo,7 pc Crispy Strips,Ranch Dip - Large,Fried Corn - Regular,Regular Buffalo Fries,Add 5 Spicy Wings
240603386,2471266447,10 pc Grilled Wings,Ranch Dip - Regular,6 pc Spicy Wings Combo,2 pc Crispy Strips,Regular Buffalo Fries,Dipping Sauce
717793967,9277376427,Ranch Dip - Regular,25 pc Game Day Pack,10 pc Spicy Wings,Regular Buffalo Fries,Blue Cheese Dip - Large,Add 5 Grilled Wings
722730504,3822095030,8 pc Spicy Wings Combo,8 pc Grilled Wings Combo,Ranch Dip - Regular,6 pc Spicy Wings Combo,6 pc Grilled Wings Combo,3 pc Crispy Strips Combo
399374791,8635267939,Large Buffalo Fries,Large Veggie Sticks Spicy,15 pc Grilled Wings,Ranch Dip - Regular,Blue Cheese Dip - Regular,Ranch Dip - Large
372985482,9975385466,Ranch Dip - Regular,20 Oz Soda,10 pc Grilled Wings,Regular Buffalo Fries,10 pc Grilled Wings Combo,8 pc Spicy Wings Combo
875106489,6002902756,Large Buffalo Fries,Fried Corn - Regular,Flavor Platter,Ranch Dip - Regular,32 Oz Soda,Blue Cheese Dip - Regular
42464808,9598626923,15 pc Grilled Wings,Ranch Dip - Regular,20pc Spicy Feast Deal,Fried Corn - Regular,Regular Buffalo Fries,10 pc Grilled Wings
179015818,2271437287,Fried Corn - Regular,Ranch Dip - Regular,2 pc Crispy Strips,3 pc Crispy Strips Combo,6 pc Spicy Wings Combo,10 pc Grilled Wings
905714889,9127618166,6 pc Grilled Wings Combo,10 pc Spicy Wings Combo,10 pc Grilled Wings,Ranch Dip - Regular,10 pc Grilled Wings Combo,Blue Cheese Dip - Regular
47616816,5498030987,10 pc Grilled Wings Combo,8 pc Spicy Wings Combo,Ranch Dip - Regular,15 pc Spicy Wings Combo,Cheese Dip - Regular,Ranch Dip - Large
662138292,4893379515,3 pc Crispy Strips Combo,Ranch Dip - Large,10 pc Spicy Wings Combo,2 pc Crispy Strips,10 pc Grilled Wings Combo,Ranch Dip - Regular
693103028,4497037762,6 pc Grilled Wings Combo,Regular Buffalo Fries,Ranch Dip - Regular,20 pc Spicy Wings,10 pc Grilled Wings,15 pc Grilled Wings
329910998,4061743760,Ranch Dip - Regular,Fried Corn - Regular,15 pc Grilled Wings,Large Buffalo Fries,Regular Buffalo Fries,10 pc Spicy Wings Combo
16208992,9453738106,7 pc Crispy Strips,Ranch Dip - Large,Large Buffalo Fries,10 pc Grilled Wings,8 pc Grilled Wings Combo,15 pc Grilled Wings
165915269,8653850514,20pc Spicy Feast Deal,Fried Corn - Large,15 pc Grilled Wings Combo,Ranch Dip - Large,Ranch Dip - Regular,Cheese Dip - Regular
122929043,6262453914,Regular Buffalo Fries,20pc Spicy Feast Deal,Blue Cheese Dip - Regular,Ranch Dip - Regular,15 pc Grilled Wings,10 pc Spicy Wings
316925508,1028695542,Regular Buffalo Fries,10 pc Mixed Wings Combo,7 pc Crispy Strips,20 Oz Soda,Cheese Dip - Large,8 pc Grilled Wings Combo
689146623,9052570299,Ranch Dip - Large,10 pc Spicy Wings Combo,Regular Buffalo Fries,20 pc Spicy Wings,10 pc Grilled Wings Combo,Large Veggie Sticks Spicy
302831416,4773468386,10 pc Spicy Wings,Large Buffalo Fries,Fried Corn - Regular,Ranch Dip - Regular,Ranch Dip - Large,15 pc Spicy Wings
248670206,6788771349,8 pc Grilled Wings Combo,2 pc Crispy Strips,Ranch Dip - Regular,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,Dipping Sauce
902700726,9044746507,20 Oz Soda,30 pc Family Mixed Wings,Triple Chocolate Cake,Cheese Dip - Large,Ranch Dip - Regular,Regular Buffalo Fries
868212216,2016464487,30 pc Grilled Wings,Large Buffalo Fries,Ranch Dip - Regular,Fried Corn - Large,Veggie Sticks,20 pc Spicy Wings
695304861,7363404487,10 pc Spicy Wings,Ranch Dip - Regular,Add 5 Spicy Wings,10 pc Grilled Wings,2 pc Crispy Strips,8 pc Grilled Wings Combo
246430958,9515862942,20 Oz Soda,Fried Corn - Large,25 pc Game Day Pack,7 pc Crispy Strips,Ranch Dip - Regular,Regular Buffalo Fries
856409489,292211849,Chicken Sub,Large Fruit Punch,20pc Spicy Feast Deal,2 pc Crispy Strips,Ranch Dip - Large,Flavor Platter
72343235,577424637,Ranch Dip - Large,15 pc Grilled Wings,20pc Spicy Feast Deal,Ranch Dip - Regular,Regular Buffalo Fries,Large Buffalo Fries
196116047,1891310798,Large Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Regular,4 pc Crispy Strips,Fried Corn - Large,10 pc Spicy Wings
296843243,4067339101,2 pc Crispy Strips,15 pc Grilled Wings,Voodoo Fries - Regular,Chicken Sub Combo,Chicken Sub,Ranch Dip - Regular
423897805,7233925631,Chicken Sub Combo,Voodoo Fries - Regular,Ranch Dip - Regular,15 pc Grilled Wings,10 pc Spicy Wings,10 pc Grilled Wings Combo
914626260,3311888453,10 pc Spicy Wings,Large Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Regular,Ranch Dip - Large,Blue Cheese Dip - Regular
260131777,7128291259,3 pc Crispy Strips Combo,2 pc Crispy Strips,Fried Corn - Regular,Ranch Dip - Regular,10 pc Grilled Wings Combo,Ranch Dip - Large
802382779,4242501496,10 pc Grilled Wings,Ranch Dip - Regular,10 pc Spicy Wings Combo,10 pc Grilled Wings Combo,Regular Buffalo Fries,8 pc Grilled Wings Combo
626605150,3252867332,10 pc Grilled Wings,10 pc Spicy Wings,Cheese Fries - Regular,15 pc Grilled Wings,Ranch Dip - Regular,Ranch Dip - Large
726148845,9492275642,Add 5 Spicy Wings,Ranch Dip - Regular,Large Buffalo Fries,15 pc Grilled Wings,10 pc Grilled Wings,20pc Spicy Feast Deal
698295477,7332762886,Large Buffalo Fries,30 pc Family Mixed Wings,Blue Cheese Dip - Regular,Ranch Dip - Large,Fried Corn - Large,Cheese Dip - Large
461591384,1791693774,Veggie Sticks Spicy,Chicken Sub Combo,Dipping Sauce,10 pc Grilled Wings Combo,Fried Corn - Large,20pc Spicy Feast Deal
886259241,5549621782,10 pc Spicy Wings Combo,Regular Buffalo Fries,Ranch Dip - Regular,10 pc Spicy Wings,20 pc Grilled Wings,10 pc Grilled Wings
108166463,7253771566,2 pc Crispy Strips,Voodoo Fries - Large,10 pc Grilled Wings Combo,Ranch Dip - Regular,Regular Buffalo Fries,Ranch Dip - Large
348338898,6488820852,Fried Corn - Regular,Cheese Dip - Medium,6 pc Grilled Wings Combo,Dipping Sauce,4 pc Crispy Strips,8 pc Grilled Wings Combo
388488350,4662712535,2 pc Crispy Strips,Ranch Dip - Large,15 pc Spicy Wings,Large Buffalo Fries,Regular Buffalo Fries,Voodoo Fries - Regular
643256095,8282587606,Ranch Dip - Regular,20pc Spicy Feast Deal,Large Buffalo Fries,Fried Corn - Large,20 pc Grilled Wings,10 pc Grilled Wings
